Unique_ID,Site,Country,Country-Code,County,Region,Latitude,Longitude,Alt_(masl),Modelled_Mean_Annual_Precipitation_(MAP)_(‰),Underlying_Geology,Simplified_Geology,Environment,Date,Date_Category,Element_Sampled,Bone/Tooth,Grave/ID number,Skeleton/Lab_ID,Sk_Age,Age_Category,Sex,Gender,d13C,Measured_O-carb_PDB,O-carb_SMOW,O-PO4_SMOW_Iacumin,O-PO4_SMOW_Measured/Chenery_2012,Chenery_2010_correction,O-dw-SMOW_Levinson,O-dw-SMOW_Chenery_2012,T/degC_Levinson,T/degC_Chenery,87Sr/86Sr,Δ18OMAP-dw_Levinson,Δ18OMAP-dw_Chenery,Δ18Odw-MAP_Levinson,Δ18Odw-MAP_Chenery,Reference
OSR_11,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,510-685 AD,B-D,LOWER M2 L(?),Tooth,323,,40+,M5,M,M,-14.8,-3.8,27,17.9,18.1,16.5,-6.3,-5.8,13.7,14.6,,-0.7,-1.2,0.7,1.2,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_12,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,510-585 AD,B,lower m2 L,Tooth,336,,30-40,F5,F?,F,-14.4,-4.3,26.5,17.4,17.6,16,-7.3,-6.6,11.9,13.2,,0.3,-0.4,-0.3,0.4,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_13,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,510-685 AD,B-D,lower M2 R,Tooth,346,,40+,M5,M,M,-12.6,-5.9,24.8,15.8,15.9,14.4,-10.8,-9.2,6,8.8,,3.8,2.2,-3.8,-2.2,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_14,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,510-585 AD,B,upper M2 L,Tooth,347,,14-16,F3,F,F,-13.9,-6.3,24.4,15.4,15.5,14,-11.7,-9.9,4.4,7.6,,4.7,2.9,-4.7,-2.9,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_15,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,565-610 AD,C,UPPER M2 R,Tooth,375,,25-30,M4,M?,M,-13.8,-6.5,24.2,15.3,15.3,13.9,-12.1,-10.1,3.9,7.2,,5.1,3.1,-5.1,-3.1,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_16,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,485-545 AD,B,UPPER M2 R,Tooth,391b,,20-25,F4,F,F,-14.9,-6.4,24.3,15.3,15.4,13.9,-11.9,-10,4.1,7.4,,4.9,3,-4.9,-3,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_17,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,510-585 AD,B,LOWER M2 L,Tooth,407,,23-28,F4,F,F,-14.6,-6.6,24.1,15.1,15.2,13.7,-12.3,-10.3,3.4,6.9,,5.3,3.3,-5.3,-3.3,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_18,Buckland Dover,England,14,Kent,Kent and East Sussex,51.13888611,1.29888889,46,-7,Chalk and clay with flint,Chalk,Coastal,510-585 AD,B,lower M2 R,Tooth,426,,40-50,F5,F?,U,-14.4,-4.3,26.5,17.5,17.7,16.1,-7.2,-6.5,12.1,13.4,,0.2,-0.5,-0.2,0.5,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_19,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,6th century,B,upper PM2 L,Tooth,2,,48,M5,M,M,-13.4,-5.8,25,16,16.1,14.6,-10.5,-9,6.5,9.1,,3.3,1.8,-3.3,-1.8,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_20,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,5th - 7th century,B/C,Lower PM1 L,Tooth,4a,,25-30,M4,M,M,-13.9,-4.3,26.5,17.4,17.6,16,-7.3,-6.5,12,13.2,,0.1,-0.7,-0.1,0.7,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_21,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,5th - 7th century,B/C,lower M2 R,Tooth,4b,,16,M3,M?,M,-14.4,-6,24.7,15.7,15.8,14.3,-11.1,-9.4,5.5,8.4,,3.9,2.2,-3.9,-2.2,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_22,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,5th - 7th century,B/C,deciduous lower M2 1/2 unsided,Tooth,8,,2.5,0,U,U,-14.5,-5.6,25.2,16.2,16.3,14.8,-10,-8.6,7.3,9.8,,2.8,1.4,-2.8,-1.4,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_23,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,5th - 7th century,B/C,upper M2 R,Tooth,10,,9,2,U,U,-13.9,-6.7,24,15,15.1,13.6,-12.6,-10.5,3,6.5,,5.4,3.3,-5.4,-3.3,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_24,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,late 5th century,B,upper PM2 R,Tooth,11,,21,M4,M,F?,-13.5,-6.9,23.8,14.9,14.9,13.5,-12.9,-10.7,2.4,6.1,,5.7,3.5,-5.7,-3.5,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_25,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,6th century,B,upper M2 R,Tooth,14,,40,F5,F,F,-14.4,-5.7,25,16,16.2,14.6,-10.4,-8.8,6.8,9.4,,3.2,1.6,-3.2,-1.6,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_26,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,early 6th century,B,lower central incisor R,Tooth,15,,17,M3,M,M,-13.8,-5.6,25.2,16.2,16.3,14.8,-10.1,-8.6,7.3,9.7,,2.9,1.4,-2.9,-1.4,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_27,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,5th - 7th century,B/C,lower M1 L,Tooth,17,,17,M3,M,M,-16.2,-4.9,25.9,16.9,17,15.5,-8.6,-7.5,9.8,11.6,,1.4,0.3,-1.4,-0.3,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_28,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,5th - 7th century,B/C,lower PM2 R,Tooth,18,,35,M4/5,M,M,-15.1,-5.9,24.9,15.9,16,14.5,-10.7,-9.1,6.2,8.9,,3.5,1.9,-3.5,-1.9,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_29,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,6th century,B,upper M2 R,Tooth,20,,34,F5,F,F,-13.8,-6.4,24.4,15.4,15.5,14,-11.8,-9.9,4.3,7.5,,4.6,2.7,-4.6,-2.7,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_30,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,5th - 7th century,B/C,lower M2 L,Tooth,21,,35-40,U5,U,U,-15.3,-5.7,25.1,16.1,16.2,14.7,-10.3,-8.8,6.9,9.4,,3.1,1.6,-3.1,-1.6,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_31,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,6th century,B,upper M3 L,Tooth,31,,22,F4,F,F,-14.8,-6.2,24.5,15.5,15.6,14.1,-11.5,-9.7,4.7,7.9,,4.3,2.5,-4.3,-2.5,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_32,Collingbourne Ducis,England,14,Wiltshire,Wessex,51.286319,-1.648209,135,-7.2,"Chalk, Head and Alluvium",Chalk,Inland,early 6th century,B,upper M2 R,Tooth,34,,30,M4/5,M,M,-14.5,-5.5,25.2,16.2,16.3,14.8,-10,-8.6,7.4,9.8,,2.8,1.4,-2.8,-1.4,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020."
OSR_33,Edix Hill,England,14,Cambridgeshire,Cambridge and South Cambs,52.12822,0.005,27,-7.4,"Cretaceous Chalk and Mudstone, Oadby Member - Diamicton",Chalk,Inland,525-595 AD,B/C,ULPM2,Tooth,9,BAEH_13A,45+,M5/6,M,M,-14.6,-3.5,27.3,18.3,18.5,16.9,-5.4,-5.2,15.1,15.6,,-2,-2.2,2,2.2,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020. Rose, Alice ""Life in Medieval Cambridge: evidence from isotopic analysis."" PhD, University of Cambridge, 2020."
OSR_34,Edix Hill,England,14,Cambridgeshire,Cambridge and South Cambs,52.12822,0.005,27,-7.4,"Cretaceous Chalk and Mudstone, Oadby Member - Diamicton",Chalk,Inland,510-575 AD,B,LLM2,Tooth,79,BAEH_428,30-34,F5,F,F,-14.5,-3.8,27,18,18.2,16.6,-6.1,-5.7,14,14.7,,-1.3,-1.7,1.3,1.7,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020. Rose, Alice ""Life in Medieval Cambridge: evidence from isotopic analysis."" PhD, University of Cambridge, 2020."
OSR_35,Edix Hill,England,14,Cambridgeshire,Cambridge and South Cambs,52.12822,0.005,27,-7.4,"Cretaceous Chalk and Mudstone, Oadby Member - Diamicton",Chalk,Inland,575-650 AD,C/D,urpm2,Tooth,54,BAEH_161,23-35,F4,F,F,-15.2,-4.1,26.6,17.6,17.8,16.2,-6.9,-6.3,12.6,13.7,,-0.5,-1.1,0.5,1.1,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020. Rose, Alice ""Life in Medieval Cambridge: evidence from isotopic analysis."" PhD, University of Cambridge, 2020."
OSR_36,Edix Hill,England,14,Cambridgeshire,Cambridge and South Cambs,52.12822,0.005,27,-7.4,"Cretaceous Chalk and Mudstone, Oadby Member - Diamicton",Chalk,Inland,415-555 AD,B,LRM2,Tooth,7,BAEH_11,25-35,M4/5,M,M,-14.5,-4.3,26.5,17.5,17.7,16.1,-7.2,-6.5,12.1,13.3,,-0.2,-0.9,0.2,0.9,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020. Rose, Alice ""Life in Medieval Cambridge: evidence from isotopic analysis."" PhD, University of Cambridge, 2020."
OSR_37,Edix Hill,England,14,Cambridgeshire,Cambridge and South Cambs,52.12822,0.005,27,-7.4,"Cretaceous Chalk and Mudstone, Oadby Member - Diamicton",Chalk,Inland,510-585 AD,B,LRPM2,Tooth,5,BAEH_9,25-29,F4,F,F,-14.6,-4.3,26.4,17.4,17.6,16,-7.4,-6.6,11.9,13.2,,0,-0.8,0,0.8,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020. Rose, Alice ""Life in Medieval Cambridge: evidence from isotopic analysis."" PhD, University of Cambridge, 2020."
OSR_38,Edix Hill,England,14,Cambridgeshire,Cambridge and South Cambs,52.12822,0.005,27,-7.4,"Cretaceous Chalk and Mudstone, Oadby Member - Diamicton",Chalk,Inland,525-595 AD,B/C,LRPM2,Tooth,98,BAEH_553,45+,M5/6,M,M,-14.1,-4.4,26.4,17.4,17.6,16,-7.4,-6.6,11.8,13.1,,0,-0.8,0,0.8,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020. Rose, Alice ""Life in Medieval Cambridge: evidence from isotopic analysis."" PhD, University of Cambridge, 2020."
OSR_39,Edix Hill,England,14,Cambridgeshire,Cambridge and South Cambs,52.12822,0.005,27,-7.4,"Cretaceous Chalk and Mudstone, Oadby Member - Diamicton",Chalk,Inland,510-575 AD,B,ULPM2,Tooth,93,BAEH_526,35-45,F5,F,F,-15.2,-4.5,26.3,17.2,17.4,15.8,-7.7,-6.9,11.2,12.7,,0.3,-0.5,-0.3,0.5,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020. Rose, Alice ""Life in Medieval Cambridge: evidence from isotopic analysis."" PhD, University of Cambridge, 2020."
OSR_40,Edix Hill,England,14,Cambridgeshire,Cambridge and South Cambs,52.12822,0.005,27,-7.4,"Cretaceous Chalk and Mudstone, Oadby Member - Diamicton",Chalk,Inland,510-575 AD,B,LPM2,Tooth,95,BAEH_530,52-59,F6,F,F,-14.3,-4.5,26.3,17.2,17.4,15.8,-7.7,-6.9,11.2,12.7,,0.3,-0.5,-0.3,0.5,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020. Rose, Alice ""Life in Medieval Cambridge: evidence from isotopic analysis."" PhD, University of Cambridge, 2020."
OSR_41,Edix Hill,England,14,Cambridgeshire,Cambridge and South Cambs,52.12822,0.005,27,-7.4,"Cretaceous Chalk and Mudstone, Oadby Member - Diamicton",Chalk,Inland,575-650 AD,C/D,U?LPM2,Tooth,77,BAEH_423,18-25,M4,M,M,-13.9,-4.6,26.2,17.1,17.3,15.7,-7.9,-7,10.9,12.4,,0.5,-0.4,-0.5,0.4,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020. Rose, Alice ""Life in Medieval Cambridge: evidence from isotopic analysis."" PhD, University of Cambridge, 2020."
OSR_42,Edix Hill,England,14,Cambridgeshire,Cambridge and South Cambs,52.12822,0.005,27,-7.4,"Cretaceous Chalk and Mudstone, Oadby Member - Diamicton",Chalk,Inland,565-610 AD,B/C,LRM2,Tooth,12,BAEH_19,20-24,M4,M,M,-15.2,-4.7,26.1,17.1,17.3,15.7,-8.1,-7.1,10.7,12.3,,0.7,-0.3,-0.7,0.3,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020. Rose, Alice ""Life in Medieval Cambridge: evidence from isotopic analysis."" PhD, University of Cambridge, 2020."
OSR_43,Edix Hill,England,14,Cambridgeshire,Cambridge and South Cambs,52.12822,0.005,27,-7.4,"Cretaceous Chalk and Mudstone, Oadby Member - Diamicton",Chalk,Inland,600-650 AD,D,URPM2,Tooth,100,BAEH_578,19-25,M4,M,M,-14.9,-4.7,26.1,17.1,17.3,15.7,-8.1,-7.1,10.6,12.2,,0.7,-0.3,-0.7,0.3,"Leggett, Samantha Alicen. “‘Tell Me What You Eat, and I Will Tell You Who You Are’: A Multi-Tissue and Multi-Scalar Isotopic Study of Diet and Mobility in Early Medieval England and Its European Neighbours.” PhD, University of Cambridge, 2020. Rose, Alice ""Life in Medieval Cambridge: evidence from isotopic analysis."" PhD, University of Cambridge, 2020."
