Unique_ID,Site,Country,Country_Code,County,Region,Latitude,Longitude,Alt_(masl),Modelled_Mean_Annual_Precipitation_(MAP)_(‰),Underlying_Geology,Simplified_Geology,Environment,Date,Date_Category,Element_Sampled,Tissue_Age,Grave,Skeleton/Lab_ID,Sk_Age,Age_Category,Sex,Gender,Stature_(cm),Pathology,Grave_Goods,Number_of_Grave_Goods,Foreign_Objects,Grave_Orientation,Body_Position,Internment_Style,Distance_to_Nearest_Contemporary_Church_(km),d13C,d15N,Reference
CNB_11,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR120,,Adult,Adult,M,,,,,,,,,,,-18.9,10.8,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_12,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR123,,Juvenile,M3,M,,,,,,,,,,,-19.2,9.4,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_13,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1010-1153,G/H,Rib,,BVR131*,,Juvenile,M3,M,,,,,,,,,,,-19.3,10.4,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_14,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1020-1200,G/H,Rib,,BVR133,,Adult,Adult,F,,,,,,,,,,,-19,10.8,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_15,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR137,,Adult,Adult,F,,,,,,,,,,,-18.8,10.4,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_16,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR139,,Adult,Adult,U,,,,,,,,,,,-19.2,10.6,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_17,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1020-1200,G/H,Rib,,BVR150,,Adult,Adult,F,,,,,,,,,,,-17.8,11.4,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_18,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1020-1200,G/H,Rib,,BVR151,,Adult,Adult,M,,,,,,,,,,,-17.8,10.8,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_19,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1020-1200,G/H,Rib,,BVR155,,Adult,Adult,F,,,,,,,,,,,-18.9,11.5,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_20,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1020-1200,G/H,Rib,,BVR156,,Adult,Adult,F,,,,,,,,,,,-18.7,10.6,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_21,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1020-1200,G/H,Rib,,BVR157,,Adult,Adult,F,,,,,,,,,,,-18.8,10.8,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_22,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1025-1168,G/H,Rib,,BVR161*,,Adult,Adult,U,,,,,,,,,,,-16.9,10.8,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_23,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1020,F,Rib,,BVR162,,Adult,Adult,U,,,,,,,,,,,-18.9,11.3,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_24,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,1020-1200,G/H,Rib,,BVR167,,Adult,Adult,U,,,,,,,,,,,-18.4,10.9,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_25,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,0-3,BVR168,,c3,1,U,,,,,,,,,,,-19,11.5,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_26,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR170,,Adult,Adult,M,,,,,,,,,,,-18.8,10.2,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_27,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR173,,Adult,Adult,M,,,,,,,,,,,-18.9,10,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_28,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,0-4,BVR176,,c4,1,U,,,,,,,,,,,-18.9,11.4,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_29,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR181,,Adult,Adult,U,,,,,,,,,,,-18.2,11.6,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_30,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR183,,Adult,Adult,F,,,,,,,,,,,-19.2,9.3,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_31,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR186,,Adult,Adult,F,,,,,,,,,,,-19.4,10.5,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_32,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR187,,Adult,Adult,F,,,,,,,,,,,-18.6,10.6,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_33,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR195,,Adult,Adult,M,,,,,,,,,,,-19.5,9.6,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_34,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1020,F,Rib,,BVR196,,Adult,Adult,F,,,,,,,,,,,-19.1,9.6,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_35,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR198,,Adult,Adult,U,,,,,,,,,,,-18.8,10.6,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_36,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,902-1025,F,Rib,,BVR301*,,juvenile,F3/4,F,,,,,,,,,,,-19.4,10.6,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_37,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1020,F,Rib,,BVR303,,Adult,Adult,M,,,,,,,,,,,-18.8,10.6,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_38,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,890-1020,F,Rib,,BVR308*,,Juvenile,Juvenile,U,U,,,,,,,,,,-18.8,11.2,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_39,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,0-4,BVR318,,c4,1,U,,,,,,,,,,,-18.1,13,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_40,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR319,,Adult,Adult,M,,,,,,,,,,,-18.7,10.6,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_41,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,,BVR320,,Adult,Adult,F,,,,,,,,,,,-19.8,10.7,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_42,33 Bartomeu Vicent Ramon,Spain,25,Ibiza,,38.909225,1.432395,3,-5.2,"Conglomerate, Sandstone, Clay, Dolomite, Limestone, Marl",Volcanic/Metamorphic,Island,880-1200,F-H,Rib,0-2,BVR321,,c1.5,0,U,U,,,,,,,,,,-18.6,13.3,"Dury G, Lythe A, Marquez-Grant N, Garcia-Rubio A, Graziani G, Mari J, Ziriax M, Schulting R (2019). ""The Islamic cemetery at 33 Bartomeu Vicent Ramon, Ibiza: investigating diet and mobility through light stable isotopes in bone collagen and tooth enamel."" Archaeological and Anthropological Sciences 11: 3913-3930."
CNB_43,A Lanzada,Spain,25,Pontevedra,,42.429023,-8.872845,21,-5.4,"Neo-Variscan Two-mica Granitoid, Gravel, Sand, Clay",Volcanic/Metamorphic,Coastal,Roman ,A,Mandible,,,201,MA ,M5,M ,,,,,,,SW-NE ,,,,-16.7,11.6,"López‐Costas O, Müldner G (2016). ""Fringes of the empire: Diet and cultural change at the Roman to post-Roman transition in NW Iberia."" American Journal of Physical Anthropology 161:141-154."
CNB_44,A Lanzada,Spain,25,Pontevedra,,42.429023,-8.872845,21,-5.4,"Neo-Variscan Two-mica Granitoid, Gravel, Sand, Clay",Volcanic/Metamorphic,Coastal,Roman ,A,Mandible,,,202,a ,Adult,M ,,,,,,,S-N ,,,,-17.5,12.3,"López‐Costas O, Müldner G (2016). ""Fringes of the empire: Diet and cultural change at the Roman to post-Roman transition in NW Iberia."" American Journal of Physical Anthropology 161:141-154."
